answerid,patternid
1,1
1,2
1,3
1,4
1,5
1,6
1,11
1,16
1,21
1,26
1,31
1,36
2,1
2,2
2,3
2,4
2,5
2,7
2,12
2,17
2,22
2,27
2,32
2,37
3,1
3,2
3,3
3,4
3,5
3,8
3,13
3,18
3,23
3,28
3,33
3,38
4,1
4,2
4,3
4,4
4,5
4,9
4,14
4,19
4,24
4,29
4,34
4,39
5,1
5,2
5,3
5,4
5,5
5,10
5,15
5,20
5,25
5,30
5,35
5,40
6,6
6,7
6,8
6,9
6,10
6,1
6,11
6,16
6,21
6,26
6,31
6,36
7,6
7,7
7,8
7,9
7,10
7,2
7,12
7,17
7,22
7,27
7,32
7,37
8,6
8,7
8,8
8,9
8,10
8,3
8,13
8,18
8,23
8,28
8,33
8,38
9,6
9,7
9,8
9,9
9,10
9,4
9,14
9,19
9,24
9,29
9,34
9,39
10,6
10,7
10,8
10,9
10,10
10,5
10,15
10,20
10,25
10,30
10,35
10,40
11,11
11,12
11,13
11,14
11,15
11,6
11,1
11,16
11,21
11,26
11,31
11,36
12,11
12,12
12,13
12,14
12,15
12,7
12,2
12,17
12,22
12,27
12,32
12,37
13,11
13,12
13,13
13,14
13,15
13,8
13,3
13,18
13,23
13,28
13,33
13,38
14,11
14,12
14,13
14,14
14,15
14,9
14,4
14,19
14,24
14,29
14,34
14,39
15,11
15,12
15,13
15,14
15,15
15,10
15,5
15,20
15,25
15,30
15,35
15,40
16,16
16,17
16,18
16,19
16,20
16,6
16,11
16,1
16,21
16,26
16,31
16,36
17,16
17,17
17,18
17,19
17,20
17,7
17,12
17,2
17,22
17,27
17,32
17,37
18,16
18,17
18,18
18,19
18,20
18,8
18,13
18,3
18,23
18,28
18,33
18,38
19,16
19,17
19,18
19,19
19,20
19,9
19,14
19,4
19,24
19,29
19,34
19,39
20,16
20,17
20,18
20,19
20,20
20,10
20,15
20,5
20,25
20,30
20,35
20,40
21,21
21,22
21,23
21,24
21,25
21,6
21,11
21,16
21,1
21,26
21,31
21,36
22,21
22,22
22,23
22,24
22,25
22,7
22,12
22,17
22,2
22,27
22,32
22,37
23,21
23,22
23,23
23,24
23,25
23,8
23,13
23,18
23,3
23,28
23,33
23,38
24,21
24,22
24,23
24,24
24,25
24,9
24,14
24,19
24,4
24,29
24,34
24,39
25,21
25,22
25,23
25,24
25,25
25,10
25,15
25,20
25,5
25,30
25,35
25,40
26,26
26,27
26,28
26,29
26,30
26,6
26,11
26,16
26,21
26,1
26,31
26,36
27,26
27,27
27,28
27,29
27,30
27,7
27,12
27,17
27,22
27,2
27,32
27,37
28,26
28,27
28,28
28,29
28,30
28,8
28,13
28,18
28,23
28,3
28,33
28,38
29,26
29,27
29,28
29,29
29,30
29,9
29,14
29,19
29,24
29,4
29,34
29,39
30,26
30,27
30,28
30,29
30,30
30,10
30,15
30,20
30,25
30,5
30,35
30,40
31,31
31,32
31,33
31,34
31,35
31,6
31,11
31,16
31,21
31,26
31,1
31,36
32,31
32,32
32,33
32,34
32,35
32,7
32,12
32,17
32,22
32,27
32,2
32,37
33,31
33,32
33,33
33,34
33,35
33,8
33,13
33,18
33,23
33,28
33,3
33,38
34,31
34,32
34,33
34,34
34,35
34,9
34,14
34,19
34,24
34,29
34,4
34,39
35,31
35,32
35,33
35,34
35,35
35,10
35,15
35,20
35,25
35,30
35,5
35,40
36,36
36,37
36,38
36,39
36,40
36,6
36,11
36,16
36,21
36,26
36,31
36,1
37,36
37,37
37,38
37,39
37,40
37,7
37,12
37,17
37,22
37,27
37,32
37,2
38,36
38,37
38,38
38,39
38,40
38,8
38,13
38,18
38,23
38,28
38,33
38,3
39,36
39,37
39,38
39,39
39,40
39,9
39,14
39,19
39,24
39,29
39,34
39,4
40,36
40,37
40,38
40,39
40,40
40,10
40,15
40,20
40,25
40,30
40,35
40,5
